;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
0;510010205000001;3.42;740.76;429.2;803.3;289;289;0;23;36;36;59;73;52;342255;987;987;0;72;987;502;485;356664;356664;0;217;28;15;0;1
1;510010205000002;3.54;1053.74;542.21;907.58;242;242;0;20;20;20;45;58;57;411181;856;856;0;60;856;416;440;378461;378461;0;159;30;34;3;1
2;510010205000003;2.84;1086.1;599.52;853.59;154;154;0;7;40;40;31;37;21;16530;437;437;0;18;437;218;219;229617;229617;0;114;18;15;1;1
3;510010205000004;3.42;371.64;223.13;384.71;50;50;0;0;7;7;7;12;11;9310;171;171;0;0;171;89;82;33470;33470;0;41;0;0;0;0
4;510010205000005;2.67;355.44;218.15;580.83;188;187;0;1;51;51;54;34;24;12832;502;501;0;4;502;270;232;94676;94676;0;99;4;2;0;0
5;510010205000006;3.34;522.72;281.55;557.54;109;109;0;0;18;18;25;22;17;10970;364;364;0;0;364;190;174;84746;84746;0;81;7;2;0;0
6;510010205000007;3.36;419.52;247.28;473.96;158;158;0;0;29;29;30;31;26;221341;531;531;0;0;531;305;226;108063;108063;0;117;5;1;0;0
7;510010207000001;2.97;815.53;471.11;702.8;107;107;0;6;19;19;28;26;19;8420;318;318;0;20;318;171;147;128612;128612;0;88;6;9;0;1
8;510010207000002;3.15;642.07;335.08;536.13;85;85;0;2;11;11;26;18;12;11322;268;268;0;7;268;153;115;77739;77739;0;76;2;5;1;0
9;510010207000003;2.91;317.95;188.34;369.36;79;79;0;0;13;13;23;22;9;7310;230;230;0;0;230;129;101;38044;38044;0;53;0;3;0;0
10;510010210000001;3.09;621.58;395.28;596.03;107;106;0;0;23;23;21;23;19;11341;329;328;0;0;329;175;154;113842;112852;990;91;4;5;0;0
11;510010210000002;3.01;593.97;302.46;614.28;174;40;0;0;26;26;53;37;29;22410;523;111;0;0;523;282;241;138317;138317;0;153;5;4;0;0
12;510020105000001;3.12;2698.28;1466.05;2223.78;202;194;8;82;28;28;46;41;62;19320;630;612;18;247;630;309;321;790417;790417;0;72;24;81;3;16
13;510020105000002;3.06;1037.6;897.75;1400.85;296;275;19;101;32;32;77;73;83;22710;905;850;49;306;905;458;447;707429;707429;0;132;30;46;3;5
14;510020105000003;3.15;923.91;695.35;971.04;247;241;6;83;25;25;65;65;54;211241;779;767;12;265;779;382;397;440850;440850;0;157;30;28;0;1
15;510020105000004;3.31;1138.98;672.58;991.04;281;274;0;86;28;28;58;73;74;271072;929;912;0;288;929;480;449;523271;522971;300;155;59;31;3;3
16;510020105000005;3.24;1119.92;661.87;975.76;212;210;0;51;21;21;34;79;43;26421;684;682;0;163;684;353;331;358755;357755;1000;122;40;25;1;3
17;510020105000006;3.09;1714.76;1041.7;1471.19;365;343;14;114;39;39;75;115;89;341000;1126;1077;29;357;1126;593;533;980931;978461;2470;161;62;86;7;12
18;510020105000007;3.53;772.35;477.68;767.75;214;213;1;58;29;29;40;43;42;3213104;756;750;6;168;756;394;362;296818;296818;0;148;20;19;0;0
19;510020105000008;3.15;1185.62;703.53;1022.68;226;223;3;79;28;28;46;61;59;22721;713;705;8;238;713;375;338;407800;407800;0;125;42;46;1;0
20;510020105000009;3.39;1161.3;598.2;959.5;54;54;0;11;4;4;14;10;15;7220;183;183;0;35;183;95;88;96909;96909;0;36;8;8;0;0
21;510020105000010;3.52;749.36;443.33;736.25;33;33;0;6;2;2;10;7;5;4311;116;116;0;26;116;54;62;41230;41230;0;23;5;1;0;0
22;510020105000011;3.2;1110.78;750.3;1118.63;64;59;3;15;10;10;13;16;10;12200;205;190;12;49;205;117;88;123049;123049;0;35;9;12;0;0
23;510020105000012;2.82;1837.88;1470.88;2021.55;125;76;23;25;16;16;31;21;29;6100;314;222;61;57;314;163;151;397750;397750;0;29;23;29;3;3
24;510020105000013;2.87;1660.5;1227.29;1640.74;151;150;0;58;30;30;36;34;31;15300;431;430;0;149;431;208;223;462178;462178;0;72;16;47;2;3
25;510020105000014;2.8;1860.66;1139.77;1455.1;158;151;7;47;25;25;49;38;32;12100;443;430;13;111;443;229;214;436531;436531;0;77;28;43;1;6
26;510020105000015;3.2;2865.12;1406.67;2003.1;252;242;8;85;27;27;59;56;70;26903;804;785;16;283;804;404;400;989531;989531;0;85;33;98;9;16
27;510020105000016;3.43;995.98;626.78;924.35;326;321;5;80;31;31;65;83;85;341634;1119;1110;9;289;1119;538;581;586035;586035;0;197;55;40;1;2
28;510020105000017;3.28;734.31;471.96;742.7;75;75;0;15;13;13;16;13;16;9431;246;246;0;49;246;123;123;95808;95808;0;61;1;4;0;1
29;510020105000018;3.33;754.34;455.95;620.31;218;188;8;41;36;36;44;42;52;201272;727;647;13;135;727;370;357;266732;266732;0;164;35;7;0;0
30;510020105000019;3.02;1169.0;609.73;935.71;154;153;0;1;14;14;52;38;26;16510;466;462;0;3;466;247;219;242284;241484;800;97;29;24;0;1
31;510020105000020;2.89;1088.89;874.51;1236.38;18;15;1;0;4;4;4;5;2;1200;52;46;4;0;52;28;24;35855;35855;0;15;1;0;1;0
32;510020105000021;2.9;1003.56;554.1;1063.88;79;78;0;0;10;10;26;18;17;6011;229;221;0;0;229;126;103;106388;106388;0;54;5;8;0;1
33;510020105000022;3.25;1270.66;252.01;984.05;505;96;0;0;5;5;25;25;25;14200;725;312;0;0;725;569;156;151455;151455;0;73;14;9;0;1
34;510020105000023;2.62;1053.38;659.52;995.07;39;39;0;1;10;10;10;6;11;2000;102;102;0;4;102;59;43;55919;55919;0;26;5;2;0;1
35;510020105000024;2.85;1320.9;645.38;1174.6;39;38;1;0;11;11;5;8;10;4100;111;110;1;0;111;59;52;58730;58730;0;24;11;2;1;0
36;510020105000025;2.71;593.43;311.61;653.1;63;63;0;0;14;14;19;10;11;9000;171;171;0;0;171;96;75;47676;47676;0;50;2;3;0;0
37;510020105000026;2.67;1043.61;592.93;1067.28;66;66;0;0;14;14;22;9;15;5100;176;176;0;0;176;89;87;90719;90719;0;42;7;9;0;1
38;510020105000027;3.11;2032.57;1498.26;2242.05;151;128;20;47;16;16;40;33;44;13221;470;415;49;132;470;220;250;627773;627773;0;51;14;39;2;11
39;510020105000028;3.39;774.31;496.96;734.92;252;251;0;56;27;27;50;56;70;291162;855;851;0;201;855;429;426;346880;346880;0;174;41;14;0;0
40;510020105000029;3.42;772.77;465.54;746.83;224;224;0;66;28;28;45;47;59;231162;765;765;0;200;765;382;383;283047;283047;0;154;34;14;0;0
41;510020105000030;3.04;1900.05;1122.02;1516.15;171;170;0;39;17;17;43;52;38;18210;520;517;0;119;520;263;257;479103;479103;0;54;42;67;3;2
42;510020105000031;3.29;720.45;460.19;717.71;229;226;3;63;27;27;51;49;56;32930;754;749;5;212;754;385;369;277036;277036;0;173;26;10;0;0
43;510020105000032;3.08;1093.23;660.42;997.82;227;221;1;48;24;24;63;55;52;131131;702;679;4;141;702;369;333;367196;359696;7500;130;47;32;1;1
44;510020105000033;3.11;1190.63;757.06;1086.44;323;315;3;77;48;48;63;85;79;281112;1006;982;9;227;1006;516;490;642057;639835;2222;191;43;49;3;4
45;510020105000034;4.0;1600.0;925.0;925.0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0
46;510020105000035;2.98;1287.61;760.65;1038.86;119;118;1;22;19;19;29;31;24;9520;355;351;4;49;355;190;165;224393;224393;0;68;24;23;0;1
47;510020105000036;3.0;800.0;665.33;665.33;1;0;0;0;0;0;0;0;0;0;3;0;0;0;3;2;1;0;0;0;0;0;0;0;0
48;510020105000037;3.36;711.36;404.82;629.72;11;10;0;1;3;3;2;1;2;0210;37;30;0;2;37;19;18;11335;11335;0;9;1;0;0;0
49;510020105000038;7.83;448.67;156.55;469.64;12;1;0;0;0;0;2;0;1;0113;94;8;0;0;94;50;44;10332;10332;0;11;0;0;0;0
50;510020105000039;7.67;268.33;136.4;409.2;6;0;1;0;0;0;0;0;0;1022;46;0;5;0;46;28;18;4092;4092;0;4;0;0;0;0
51;510020105000040;8.36;352.18;142.04;418.22;11;1;0;0;0;0;1;0;2;1020;92;4;0;0;92;49;43;7528;7528;0;9;0;0;0;0
52;510020105000041;1.67;778.33;1139.0;1265.56;6;6;0;0;3;3;2;1;0;0000;10;10;0;0;10;6;4;11390;11390;0;5;0;1;0;0
53;510020115000001;2.25;725.0;457.14;640.0;4;0;0;0;0;0;0;0;0;0;9;0;0;0;9;6;3;0;0;0;0;0;0;0;0
54;510020115000002;3.09;995.3;525.62;919.84;65;64;0;0;9;9;13;18;13;9200;199;198;0;0;199;115;84;84625;84115;510;42;12;6;0;0
55;510020115000003;2.82;729.4;440.26;838.86;58;0;0;0;0;0;0;0;0;0;162;0;0;0;162;90;72;0;0;0;0;0;0;0;0
56;510020115000005;2.99;818.24;435.16;795.46;195;194;0;5;32;32;55;37;42;17741;584;579;0;17;584;327;257;221933;221933;0;143;18;12;1;1
57;510020125000001;2.65;679.6;559.89;849.27;65;62;1;12;16;16;21;6;10;9100;169;165;2;34;169;86;83;74075;74075;0;41;5;3;0;0
58;510020125000002;3.21;691.18;460.5;923.59;138;133;0;1;19;19;29;24;37;18610;434;428;0;4;434;238;196;160774;160774;0;64;10;8;1;0
59;510020125000003;2.98;962.81;542.35;955.18;48;34;0;0;7;7;16;9;8;5201;143;94;0;0;143;79;64;63997;63997;0;34;8;3;0;0
60;510020125000004;2.94;707.53;404.13;594.57;102;99;0;0;11;11;34;24;18;6420;301;291;0;0;301;163;138;103456;102286;1170;88;9;3;0;0
61;510025005000001;3.29;1965.93;1031.63;1524.59;163;160;1;41;14;14;42;36;39;26221;536;528;3;124;536;271;265;481772;481772;0;86;21;41;3;5
62;510025005000002;3.26;3477.99;1580.75;2305.83;180;157;9;58;19;19;41;38;45;22631;589;525;25;174;589;291;298;809345;799715;9630;71;26;62;7;9
63;510025005000003;3.16;1145.99;684.55;1009.91;234;225;2;61;27;27;53;59;55;23613;736;713;5;196;736;342;394;428192;419347;8845;142;25;43;0;2
64;510025005000004;2.83;1130.73;743.23;1062.52;249;206;6;90;44;44;65;52;38;28510;679;604;11;215;679;335;344;438295;434275;4020;140;26;45;1;1
65;510025005000005;3.06;1750.42;974.24;1406.98;243;219;11;65;33;33;58;60;43;231230;723;672;35;175;723;352;371;612055;605413;6642;114;32;68;1;9
66;510025005000006;3.36;1040.77;595.24;945.72;232;219;1;76;27;27;50;48;48;281382;761;742;2;238;761;388;373;383870;383870;0;133;30;40;0;0
67;510025005000007;3.25;1339.22;834.81;1232.82;216;207;3;73;21;21;54;52;44;30441;701;678;7;234;701;350;351;503442;493382;10060;116;40;33;1;6
68;510025005000008;2.82;1583.09;980.27;1560.29;193;156;33;71;38;38;51;43;38;17501;544;469;68;166;544;257;287;450923;450923;0;86;27;44;2;7
69;510025005000009;2.93;1917.27;1126.06;1583.7;202;189;3;92;33;33;54;43;45;18421;595;567;9;247;595;288;307;592305;586285;6020;99;37;52;0;9
70;510025005000010;3.12;2151.12;1182.64;1694.89;189;138;34;66;19;19;42;48;38;22510;562;463;73;184;562;275;287;568801;568801;0;62;28;66;4;8
71;510025005000011;3.05;2263.11;1317.1;1988.36;143;116;27;70;22;22;30;39;28;19500;436;380;56;180;436;217;219;514475;514475;0;57;9;57;3;5
72;510025005000012;3.19;2617.43;1262.25;1953.03;111;98;5;37;7;7;30;27;30;12120;350;324;13;107;350;169;181;391159;391159;0;38;16;36;7;6
73;510025005000013;3.03;2179.53;1257.55;1895.47;274;256;16;92;35;35;64;83;55;25731;829;795;31;251;829;408;421;871721;871721;0;115;44;72;10;14
74;510025005000014;3.24;1442.46;1091.75;1784.08;283;281;2;90;25;25;69;72;69;331121;918;913;5;266;918;447;471;877256;877256;0;107;26;74;2;7
75;510025005000015;3.09;3150.61;1865.97;2755.56;152;102;43;64;20;20;41;29;31;17304;455;329;119;181;455;225;230;695275;695275;0;40;19;61;5;14
76;510025005000016;3.22;1429.89;800.47;1254.63;300;287;11;101;34;34;76;67;68;331433;963;937;23;309;963;468;495;661191;659991;1200;165;43;65;4;4
77;510025005000017;3.38;1078.57;664.61;980.26;223;223;0;46;16;16;55;53;55;221660;753;753;0;148;753;365;388;409630;409630;0;155;24;31;3;0
78;510025005000018;3.31;982.87;589.17;877.06;146;141;0;32;13;13;28;44;33;15631;478;466;0;90;478;241;237;231544;229284;2260;91;22;17;0;1
79;510025005000019;3.16;790.49;485.91;739.91;151;149;0;29;19;19;39;31;35;15541;477;471;0;94;477;235;242;195336;188536;6800;108;21;14;0;0
80;510025005000020;3.3;833.53;502.5;788.24;242;241;0;59;26;26;50;59;61;301231;798;797;0;180;798;392;406;321602;321602;0;167;31;18;0;0
81;510025005000021;3.19;983.83;571.55;847.52;255;248;5;53;31;31;51;74;52;321220;810;798;9;150;810;428;382;394944;393674;1270;174;26;38;2;0
82;510025005000022;3.86;784.38;495.96;747.7;117;116;0;25;3;3;19;25;20;47200;452;447;0;89;452;230;222;197394;197394;0;88;9;8;1;0
83;510025005000023;3.22;954.1;577.8;830.23;327;326;0;49;43;43;72;88;58;391753;1050;1049;0;158;1050;540;510;513085;512585;500;237;37;17;0;3
84;510025005000024;3.13;1104.77;671.03;1001.69;234;230;1;47;18;18;67;58;54;26521;732;722;2;156;732;366;366;411879;408669;3210;150;26;40;0;1
85;510025005000025;3.4;898.55;546.41;870.63;139;136;0;36;14;14;28;34;36;13932;472;463;0;122;472;244;228;208222;208222;0;90;21;13;1;0
86;510025005000026;3.35;1052.26;649.73;940.75;144;140;2;25;15;15;32;27;36;25340;478;473;2;82;478;241;237;270936;269936;1000;90;23;21;0;0
87;510025005000027;3.34;1214.8;714.06;1067.19;190;189;0;42;19;19;34;45;60;191101;632;631;0;134;632;307;325;390592;390082;510;103;31;29;1;1
88;510025005000028;3.16;1039.91;608.74;895.61;297;297;0;97;36;36;61;79;77;311030;939;939;0;283;939;463;476;482733;482733;0;189;50;44;0;0
89;510025005000029;3.37;1042.94;641.28;1037.37;175;173;2;30;14;14;30;51;48;23720;590;588;2;93;590;287;303;317435;317435;0;85;29;29;1;0
90;510025005000030;3.24;1322.61;766.07;1195.77;203;201;2;53;20;20;43;63;44;21543;658;655;3;144;658;320;338;422106;422106;0;97;38;45;2;1
91;510025005000031;3.41;806.33;479.57;693.99;293;287;6;24;36;36;48;75;66;441382;1000;992;8;81;1000;517;483;374061;374061;0;234;27;20;1;0
92;510025005000032;3.29;1065.54;627.14;958.81;59;59;0;5;4;4;16;17;12;5310;194;194;0;17;194;103;91;99716;99716;0;35;10;11;0;0
93;510025005000033;3.38;796.71;554.17;868.31;288;254;0;32;29;29;56;60;52;331175;892;858;0;93;892;498;394;392656;392656;0;160;13;25;1;2
94;510025005000034;2.91;600.0;615.99;959.19;45;45;0;3;6;6;14;11;8;4200;131;131;0;5;131;78;53;67143;67143;0;25;3;2;0;0
95;510025005000035;3.55;523.76;334.53;567.05;272;268;0;36;25;25;62;58;54;421455;962;954;0;126;962;490;472;252906;250506;2400;219;10;4;0;0
96;510025005000036;3.46;729.29;418.92;675.28;316;315;0;13;33;33;70;81;53;432165;1093;1090;0;38;1093;580;513;394531;394531;0;269;15;13;0;1
97;510025005000037;3.17;1351.06;755.59;1181.47;66;66;0;6;5;5;16;18;20;4300;209;209;0;13;209;114;95;129962;129962;0;43;6;13;0;1
98;510025005000038;3.55;757.42;462.62;768.1;239;238;0;39;20;20;45;63;53;36964;848;844;0;136;848;441;407;322368;322368;0;162;34;16;0;0
99;510025005000039;3.07;955.75;617.34;904.68;250;248;1;68;29;29;68;59;56;241210;766;762;3;210;766;374;392;392630;392330;300;153;37;37;0;1
100;510025005000040;2.64;1845.37;1185.81;1599.95;226;181;38;117;69;69;37;56;39;19022;595;528;50;261;595;279;316;629780;627780;2000;96;30;85;2;6
101;510025005000041;3.05;1774.69;981.93;1459.7;207;205;2;76;23;23;54;59;42;19910;632;627;5;228;632;304;328;542500;542500;0;97;25;60;2;6
102;510025005000042;3.31;576.9;418.77;635.61;235;234;0;22;29;29;47;53;60;32714;779;775;0;71;779;396;383;267593;266993;600;169;20;4;1;0
103;510025005000043;3.35;651.82;412.04;627.27;199;196;0;32;21;21;48;41;42;281332;666;659;0;103;666;336;330;224054;223554;500;157;19;5;0;0
104;510025005000044;3.12;1431.88;848.45;1212.86;167;158;1;44;24;24;28;51;39;16511;517;499;3;124;517;258;259;369923;367398;2525;96;23;37;2;1
105;510025005000045;3.24;999.27;582.75;906.28;172;172;0;39;14;14;43;48;37;21441;557;557;0;115;557;281;276;270977;270977;0;101;27;22;1;0
106;510025005000046;3.35;988.6;547.43;843.01;195;194;1;53;15;15;40;62;43;21751;654;651;3;176;654;327;327;305912;305912;0;144;19;23;1;0
107;510025005000047;3.29;934.27;618.36;944.95;205;205;0;50;24;24;47;45;50;241400;674;674;0;143;674;358;316;349668;349668;0;127;27;14;1;2
108;510025005000048;3.04;323.08;300.99;516.95;160;160;0;14;32;32;39;29;32;121222;487;487;0;42;487;258;229;115279;115279;0;101;2;0;0;0
109;510025005000049;3.31;850.24;509.48;743.89;254;253;0;57;26;26;58;59;60;291542;839;838;0;195;839;442;397;354092;354092;0;194;24;23;0;0
110;510025005000050;3.3;1278.34;622.58;1144.85;115;114;0;1;11;11;28;23;31;16410;380;377;0;1;380;201;179;205473;205473;0;79;9;10;1;4
111;510025005000051;3.06;970.95;643.17;1086.95;63;62;0;0;7;7;17;16;14;6300;193;191;0;0;193;104;89;108695;108695;0;43;6;9;0;0
112;510025005000052;3.36;1221.81;647.88;944.83;64;64;0;5;6;6;15;17;14;5420;215;215;0;14;215;110;105;112779;112779;0;45;5;7;1;2
113;510025005000053;3.31;1094.26;558.19;849.57;84;84;0;3;8;8;20;17;21;13500;278;278;0;9;278;145;133;135082;135082;0;58;10;13;0;1
114;510025005000054;3.16;1175.2;532.9;1030.74;56;56;0;0;6;6;15;13;13;4500;177;177;0;0;177;87;90;78336;78336;0;38;6;7;0;1
115;510025005000055;3.2;1116.79;556.46;963.62;81;81;0;1;5;5;20;22;22;12000;259;259;0;3;259;140;119;118525;118525;0;51;17;10;1;0
116;510025005000056;3.08;875.58;423.13;769.96;124;124;0;0;11;11;32;36;29;13300;382;382;0;0;382;198;184;140903;140903;0;98;10;10;0;0
117;510025005000057;3.0;1310.87;794.07;1191.11;23;23;0;0;2;2;7;6;5;3000;69;69;0;0;69;39;30;41860;41860;0;15;5;3;0;0
118;510025005000058;2.97;923.42;517.94;841.37;141;139;0;0;16;16;47;33;21;16410;415;413;0;0;415;225;190;190364;190364;0;107;16;14;0;0
119;510025005000059;3.12;1009.81;500.06;817.03;108;107;0;0;13;13;27;31;19;7811;341;334;0;0;341;184;157;149517;147887;1630;82;13;12;0;0
120;510025005000060;3.25;1125.65;594.85;1056.28;71;69;0;0;6;6;17;18;15;9310;226;224;0;0;226;125;101;110167;110167;0;41;13;6;1;1
121;510025005000061;3.45;976.28;466.32;846.85;128;128;0;2;11;11;27;33;29;16820;441;441;0;11;441;244;197;179533;179533;0;89;18;13;0;1
122;510025005000062;3.28;477.89;364.58;700.64;123;123;0;0;13;13;28;33;22;20250;403;403;0;0;403;212;191;125414;125414;0;70;4;6;0;0
123;510025005000063;2.98;543.51;317.84;561.52;125;114;0;6;24;24;27;26;16;14411;377;340;0;19;377;211;166;101073;97103;3970;103;3;1;0;0
124;510025005000064;3.3;738.74;560.39;917.36;94;94;0;0;14;14;13;30;20;10411;310;310;0;0;310;183;127;133934;133934;0;49;17;6;0;0
125;510025005000065;3.22;993.71;465.14;854.75;77;77;0;0;6;6;19;25;16;5321;248;248;0;0;248;133;115;99606;99606;0;57;12;8;0;0
126;510025005000066;3.29;965.61;465.15;852.04;132;132;0;0;7;7;34;33;36;16600;434;434;0;0;434;223;211;182337;182337;0;98;12;13;0;1
127;510025005000067;3.51;805.01;362.13;699.71;116;116;0;1;9;9;22;29;26;24320;407;407;0;4;407;229;178;123848;123848;0;85;15;7;0;0
128;510025005000068;3.05;1023.88;584.74;894.02;78;78;0;2;10;10;19;22;15;10020;238;238;0;7;238;135;103;107877;107877;0;58;13;5;0;0
129;510025005000069;2.89;3613.64;2106.69;3241.06;122;106;15;33;13;13;41;33;20;10220;354;308;42;82;354;172;182;674140;674140;0;27;15;53;8;11
130;510025005000070;3.12;2235.38;1203.48;1767.84;266;255;11;90;26;26;66;67;75;23630;831;815;16;259;831;427;404;882153;882153;0;106;35;94;4;12
131;510025005000071;3.32;744.86;455.71;642.14;231;231;0;33;33;33;45;52;54;251084;768;768;0;103;768;385;383;282541;282541;0;178;24;9;1;0
132;510025005000072;3.17;585.99;598.44;886.12;184;184;0;52;22;22;43;55;27;27621;583;583;0;165;583;294;289;298621;298621;0;107;17;7;0;0
133;510025005000073;3.29;849.11;537.22;751.32;142;142;0;30;19;19;30;31;35;17711;467;467;0;116;467;231;236;203608;203608;0;95;31;6;0;0
134;510025005000074;3.55;945.39;499.76;837.05;166;166;0;22;14;14;33;43;34;25744;590;590;0;72;590;301;289;236885;236885;0;112;16;14;0;3
135;510025005000075;3.39;756.08;496.39;727.71;222;221;0;42;22;22;49;55;45;271463;752;750;0;134;752;387;365;299818;299318;500;173;25;11;0;0
136;510025005000076;3.32;831.48;502.71;768.08;158;158;0;29;18;18;26;48;42;13442;524;524;0;79;524;279;245;206614;206614;0;119;17;13;0;0
137;510025005000077;3.29;743.52;485.01;753.38;197;197;0;33;18;18;45;55;43;23741;649;649;0;100;649;319;330;261422;261422;0;135;25;11;0;0
138;510025005000078;3.0;1566.51;881.58;1329.84;177;174;0;44;12;12;54;48;51;8100;530;523;0;140;530;253;277;392302;390592;1710;97;21;36;2;5
139;510025005000079;3.03;1434.54;822.34;1297.02;80;77;3;17;9;9;16;28;18;9000;242;237;5;47;242;119;123;159533;159533;0;33;16;23;0;1
140;510025005000080;3.2;2004.37;1090.3;1501.73;86;85;0;28;9;9;22;24;14;12221;275;274;0;94;275;134;141;238775;238775;0;36;25;15;1;6
141;510025005000081;3.52;691.78;487.26;683.77;120;119;0;21;9;9;25;28;34;12802;422;419;0;77;422;210;212;166156;164556;1600;91;6;9;0;0
142;510025005000082;3.23;456.56;496.63;835.24;39;38;0;0;4;4;8;10;11;4200;126;125;0;0;126;73;53;55126;55126;0;21;0;3;0;0
143;510025005000083;2.81;1120.64;703.61;1001.29;124;124;0;26;25;25;26;35;25;11200;349;349;0;68;349;181;168;208268;208268;0;77;17;22;1;0
144;510025005000084;3.48;706.39;414.58;720.39;160;159;0;25;12;12;28;45;41;24720;557;555;0;79;557;279;278;189463;189463;0;125;13;6;0;0
145;510025005000085;3.68;728.23;412.92;687.6;129;129;0;22;9;9;23;28;27;29931;475;475;0;88;475;246;229;158148;158148;0;102;10;7;0;0
146;510025005000086;3.16;1204.36;682.49;1055.21;235;234;0;47;22;22;59;65;55;24451;742;740;0;142;742;368;374;434748;434748;0;134;38;47;0;1
147;510025005000087;3.22;1176.1;672.53;980.54;267;267;0;43;22;22;66;68;72;27741;859;859;0;131;859;434;425;490271;490271;0;158;46;52;1;0
148;510025005000088;3.15;1071.54;615.44;863.98;137;137;0;21;14;14;38;33;30;12730;432;432;0;57;432;234;198;224635;224635;0;103;16;7;1;2
149;510025005000089;2.93;1568.6;730.7;1330.91;42;42;0;0;2;2;16;11;9;4000;123;123;0;0;123;62;61;74531;74531;0;22;5;12;2;0
150;510025005000090;3.38;821.05;418.57;663.4;160;155;0;1;19;19;30;39;30;201420;530;524;0;3;530;297;233;171270;171270;0;131;13;11;0;0
151;510030005000001;2.81;1103.02;908.25;1271.98;238;221;1;58;49;49;56;59;49;19321;669;645;1;141;669;342;327;536776;536776;0;135;22;42;3;2
152;510030005000002;2.91;1107.08;809.48;1189.33;263;246;14;100;64;64;47;62;47;30930;766;736;26;273;766;384;382;522117;522117;0;147;26;51;4;1
153;510030005000003;2.97;1993.5;1118.04;1595.64;296;272;0;99;54;54;64;74;60;281230;878;833;0;267;878;446;432;821756;820056;1700;149;43;63;7;7
154;510030005000004;3.22;979.05;770.41;1121.02;291;244;0;61;33;33;50;59;50;381220;836;786;0;182;836;424;412;529921;527421;2500;140;22;31;3;3
155;510030005000005;3.21;449.33;412.12;776.87;510;510;0;94;72;72;116;125;98;5820154;1636;1636;0;247;1636;855;781;540703;540703;0;255;28;17;0;0
156;510030005000006;3.19;832.97;529.64;763.91;288;277;0;59;41;41;54;71;65;34762;905;886;0;185;905;445;460;397232;388692;8540;208;37;27;0;0
157;510030005000007;3.14;590.7;473.27;816.07;325;325;0;76;48;48;84;61;74;391222;1021;1021;0;206;1021;520;501;403859;403859;0;172;32;20;0;0
158;510030005000008;3.42;1028.84;599.06;958.49;24;19;0;4;2;2;4;3;7;2001;83;65;0;12;83;37;46;43132;36602;6530;11;6;3;0;0
159;510030005000009;2.3;571.0;334.55;525.71;10;10;0;0;2;2;5;2;0;1000;23;23;0;0;23;12;11;7360;7360;0;10;0;0;0;0
160;510030005000010;3.0;842.18;603.07;874.95;73;72;0;15;9;9;23;18;13;6121;219;217;0;45;219;115;104;106744;106744;0;49;4;10;1;0
161;510030005000011;2.96;1418.68;942.95;1276.91;104;103;0;37;16;16;29;24;20;8411;310;305;0;117;310;152;158;245166;243454;1712;52;22;19;0;3
162;510030005000012;2.81;1387.41;1049.59;1405.89;210;206;3;72;43;43;55;56;30;18322;591;585;5;213;591;308;283;533729;533729;0;114;25;33;2;7
163;510030005000013;3.16;985.74;611.63;933.65;163;158;0;40;19;19;37;44;40;14603;515;507;0;118;515;264;251;264222;264222;0;104;27;22;0;0
164;510030005000014;3.18;1310.45;593.39;1278.08;11;11;0;2;2;2;2;3;2;1010;35;35;0;3;35;19;16;16615;16615;0;5;2;3;0;0
165;510030005000015;3.2;928.92;649.18;972.56;295;295;0;65;38;38;68;75;63;331032;944;944;0;219;944;446;498;525184;525184;0;163;36;42;1;1
166;510030005000016;3.12;1438.48;787.53;1239.63;33;33;0;9;3;3;8;8;10;4000;103;103;0;29;103;53;50;66940;66940;0;19;3;8;1;0
167;510030005000017;3.1;2235.09;1261.65;1805.77;111;111;0;30;14;14;25;37;18;9521;344;344;0;81;344;168;176;381018;381018;0;50;7;39;5;5
168;510030005000018;2.75;2046.44;1269.5;1775.88;204;175;1;76;41;41;57;47;33;9711;553;512;3;183;553;245;308;628192;619422;8770;94;20;69;1;6
169;510030005000019;2.73;2032.99;1208.89;1871.36;182;117;0;54;29;29;39;36;16;15310;422;333;0;134;422;221;201;460841;460841;0;58;18;47;4;4
170;510030005000020;3.03;1616.88;1024.75;1436.07;229;216;1;64;31;31;59;56;43;211030;683;661;2;184;683;330;353;612337;609290;3047;121;25;54;4;6
171;510030005000021;2.51;732.17;465.0;748.54;118;118;0;3;31;31;39;23;13;7410;296;296;0;7;296;171;125;122760;122760;0;92;5;9;0;0
172;510030005000022;2.57;694.21;602.71;774.91;47;47;0;1;14;14;12;7;10;2200;121;121;0;3;121;69;52;59268;59268;0;35;5;1;0;0
